CODE,CODE_EN_DES,CODE_VI_DES,HSCODE,Manual
132114400,UPPER HOUSING 3SD,V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
178008092,"GC -  80 PANEL LIGHT PIPE L.3,1",THANH D?N SÁNG (NH?A),39269059,THANH D?N SÁNG (NH?A)
163329114,WARNING BATTERY LABEL,NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163339701,E-3397 FIXED DATA LABEL M220,NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163348000,MULTI-BATTERY CHARGER ESD LABEL,NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
163356300,TRANSPARENT LABEL - NINJA,NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
700276202,LINEAR ACTUATOR ASSEMBLY NEON,,#N/A,
700310200,LINEAR ACTUATOR ASSEMBLY NEON,,#N/A,
700325200,"ASSY,SENSOR & OBJECTIVE,QW2420-CA63",,#N/A,
740228500,ASSY MODULE NEON DE2171-AF,C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740248300,ASSY MODULE FIREFLY DE2102-DL,C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740282800,ASSY MODULE NEON DE2171-AF SPI,C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
QW2420-CA63,"QW2400,BLK,USB SB6026",MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
700292101,"IMAGER SUBASSEMBLY, FIREFLY, DL",C?M L?P RÁP B? ?I?U KHI?N QUANG H?C,84733090,C?M L?P RÁP
740318600,ASSY MODULE FIREFLY DE2102-DL Q10,C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
944700025,MEMOR 1 E00AN04HL0GT0AN-NNN,MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
944700026,MEMOR 1 E00AN04HL0HT0AN-NN,MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
740333100,"SUB ASSY,HALOGEN WVGA + ETH",C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740333200,"SUB ASSY,HALOGEN WVGA + USB",C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740333300,"SUB ASSY,HALOGEN 1.2MP + ETH",C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740333400,"SUB ASSY,HALOGEN 1.2MP + USB",C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740333500,"SUB ASSY,HALOGEN  WA 1.2MP + ETH",C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740333600,"SUB ASSY,HALOGEN  WA 1.2MP + USB",C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740333700,"SUB ASSY,HALOGEN WVGA RED + ETH",C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
740333900,"SUB ASSY,HALOGEN 1.2MP RED + ETH",C?M L?P RÁP B? ?I?U KHI?N MÁY ??C MÃ V?CH,84733090,C?M L?P RÁP
